# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 7687 4 5 78 12592346 5 /openedx/staticfiles/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7687 4 5 78 12587511 5 /openedx/staticfiles/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7687 5 5 78 12715010 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7687 8 5 78 12588495 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7687 9 5 78 12720158 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7687 9 5 78 12715694 5 /openedx/staticfiles/studio/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.js
DUPTYPE_WITHIN_SAME_TREE -7687 5 5 78 12721112 5 /openedx/staticfiles/studio/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_WITHIN_SAME_TREE -7687 8 5 78 12591048 5 /openedx/staticfiles/xblock/resources/edx_sga/static/js/bower/jquery/src/outro.0b9c0e7d4b72.js
DUPTYPE_FIRST_OCCURRENCE 3863 2 16 78 12592768 5 /openedx/staticfiles/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -3863 3 16 78 12721542 5 /openedx/staticfiles/studio/vendor/jsme/version.e2ff8fdbd6b2.txt
DUPTYPE_WITHIN_SAME_TREE -3863 2 16 78 12586741 5 /openedx/staticfiles/vendor/jsme/version.txt
DUPTYPE_WITHIN_SAME_TREE -3863 3 16 78 12714497 5 /openedx/staticfiles/studio/vendor/jsme/version.txt
DUPTYPE_FIRST_OCCURRENCE 14543 6 19 78 12591399 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_WITHIN_SAME_TREE -14543 6 19 78 12588076 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -14543 7 19 78 12715799 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.xml
DUPTYPE_WITHIN_SAME_TREE -14543 7 19 78 12720441 5 /openedx/staticfiles/studio/xblock/resources/google_drive/tests/integration/xml/calendar.5ced8015592b.xml
DUPTYPE_FIRST_OCCURRENCE 14545 6 19 78 12591400 5 /openedx/staticfiles/xblock/resources/google_drive/tests/integration/xml/document.c59df8b8a86e.xml
